date,direction,entry,sl,tp1,exit_price,outcome,actual_r,session,atr,bars_held
2025-12-12 19:00:00,LONG,4308.82,4299.02,4328.4,4328.4,WIN,2.0,Off,9.79,2
2025-12-17 01:00:00,LONG,4329.34,4314.91,4358.22,4314.91,LOSS,-1.0,Tokyo,14.44,1
2025-12-18 00:00:00,LONG,4343.14,4331.17,4367.06,4331.17,LOSS,-1.0,Tokyo,11.96,1
2025-12-19 02:00:00,LONG,4337.49,4326.86,4358.74,4358.74,WIN,2.0,Tokyo,10.62,1
2025-12-20 01:00:00,LONG,4332.43,4323.14,4351.02,4351.02,WIN,2.0,Tokyo,9.29,2
2025-12-24 07:00:00,LONG,4498.75,4484.34,4527.56,4484.34,LOSS,-1.0,London,14.41,1
2025-12-24 10:00:00,LONG,4504.52,4489.32,4534.92,4489.32,LOSS,-1.0,Overlap,15.2,3
2025-12-27 01:00:00,LONG,4522.86,4509.18,4550.24,4550.24,WIN,2.0,Tokyo,13.69,2
2025-12-31 06:00:00,SHORT,4346.71,4367.29,4305.56,4367.29,LOSS,-1.0,London,20.58,6
2025-12-31 15:00:00,SHORT,4332.0,4350.1,4295.78,4295.78,WIN,2.0,NY,18.11,1
2026-01-01 07:00:00,SHORT,4313.11,4333.36,4272.62,4333.36,LOSS,-1.0,London,20.24,27
2026-01-03 03:00:00,SHORT,4325.13,4340.86,4293.65,4340.86,LOSS,-1.0,Tokyo,15.74,31
2026-01-07 01:00:00,LONG,4487.85,4472.27,4519.0,4472.27,LOSS,-1.0,Tokyo,15.58,1
2026-01-09 04:00:00,LONG,4462.52,4447.48,4492.6,4447.48,LOSS,-1.0,Tokyo,15.04,1
2026-01-10 00:00:00,LONG,4484.12,4472.33,4507.71,4507.71,WIN,2.0,Tokyo,11.8,2
2026-01-13 00:00:00,LONG,4616.42,4598.14,4652.98,4598.14,LOSS,-1.0,Tokyo,18.28,1
2026-01-14 00:00:00,LONG,4609.91,4596.95,4635.83,4596.95,LOSS,-1.0,Tokyo,12.96,3
2026-01-16 05:00:00,LONG,4617.15,4602.12,4647.21,4602.12,LOSS,-1.0,London,15.03,2
2026-01-16 08:00:00,LONG,4616.04,4601.79,4644.53,4601.79,LOSS,-1.0,London,14.25,3
2026-01-17 02:00:00,SHORT,4571.87,4590.4,4534.82,4590.4,LOSS,-1.0,Tokyo,18.53,1
2026-01-18 19:00:00,SHORT,4595.29,4595.55,4594.77,4595.55,LOSS,-1.0,Off,0.26,11
2026-01-20 15:00:00,LONG,4695.8,4687.24,4712.93,4712.93,WIN,2.0,NY,8.56,1
2026-01-21 10:00:00,LONG,4776.21,4761.72,4805.2,4805.2,WIN,2.0,Overlap,14.49,2
2026-01-22 20:00:00,LONG,4822.92,4800.6,4867.54,4867.54,WIN,2.0,Off,22.31,6
2026-01-24 03:00:00,LONG,4980.28,4960.2,5020.43,4960.2,LOSS,-1.0,Tokyo,20.08,2
2026-01-27 14:00:00,LONG,5077.45,5041.39,5149.59,5149.59,WIN,2.0,NY,36.07,17
2026-01-27 19:00:00,LONG,5080.5,5050.04,5141.4,5141.4,WIN,2.0,Off,30.45,12
2026-01-28 05:00:00,LONG,5089.82,5069.08,5131.29,5131.29,WIN,2.0,London,20.74,2
2026-01-29 07:00:00,LONG,5379.84,5345.32,5448.88,5448.88,WIN,2.0,London,34.52,3
