date,pair,direction,entry,sl,tp,exit_price,outcome,session,setup,notes,risk_pips,rr_ratio,actual_r,pnl_usd
2026-07-02,XAUUSD,LONG,4073.17,4046.97,4131.7,4182.47,WIN,Tokyo,SMC,,26.2,2.23,4.172,417.18
2026-07-01,XAUUSD,SHORT,4013.02,4035.51,3960.54,3960.54,WIN,NY,SMC,,22.49,2.33,2.333,233.35
2026-06-29,XAUUSD,SHORT,4031.33,4074.75,3972.48,3972.48,WIN,London,SMC,,43.42,1.36,1.355,135.54
2026-06-26,XAUUSD,LONG,4090.06,4045.21,4147.94,4045.21,LOSS,NY,SMC,,44.85,1.29,-1.0,-100.0
2026-06-26,XAUUSD,SHORT,4004.19,4028.52,3938.55,4028.52,LOSS,Tokyo,SMC,,24.33,2.7,-1.0,-100.0
2026-06-24,XAUUSD,SHORT,4055.45,4085.88,3978.71,3978.71,WIN,London,SMC,,30.43,2.52,2.522,252.19
2026-06-23,XAUUSD,SHORT,4104.02,4132.5,4033.45,4018.09,WIN,NY,SMC,,28.48,2.48,3.017,301.72
2026-06-23,XAUUSD,SHORT,4160.98,4216.54,4087.9,4087.9,WIN,Tokyo,SMC,,55.56,1.32,1.315,131.53
2026-06-18,XAUUSD,SHORT,4266.46,4316.42,4171.98,4171.98,WIN,London,SMC,,49.96,1.89,1.891,189.11
2026-06-16,XAUUSD,LONG,4346.56,4316.71,4409.61,4316.71,LOSS,London,SMC,,29.85,2.11,-1.0,-100.0
2026-06-15,XAUUSD,LONG,4285.53,4207.56,4400.49,4207.56,LOSS,Sydney,SMC,,77.97,1.47,-1.0,-100.0
2026-06-10,XAUUSD,SHORT,4146.8,4198.67,4047.17,4047.17,WIN,London,SMC,,51.87,1.92,1.921,192.08
2026-06-09,XAUUSD,SHORT,4300.25,4353.6,4220.56,4220.56,WIN,NY,SMC,,53.35,1.49,1.494,149.37
2026-06-09,XAUUSD,SHORT,4326.41,4353.6,4258.56,4353.6,LOSS,London,SMC,,27.19,2.5,-1.0,-100.0
2026-06-05,XAUUSD,SHORT,4461.43,4490.1,4396.79,4330.7,WIN,Sydney,SMC,,28.67,2.25,4.56,455.98
2026-06-03,XAUUSD,SHORT,4438.73,4465.61,4368.9,4465.61,LOSS,NY,SMC,,26.88,2.6,-1.0,-100.0
2026-07-08,NAS100,SHORT,29194.8,29352.1,28722.8,28722.8,WIN,Tokyo,Powell,,157.3,3.0,3.001,300.06
2026-07-10,NAS100,SHORT,29668.7,29756.1,29406.5,29756.1,LOSS,Tokyo,Powell,,87.4,3.0,-1.0,-100.0
2026-07-13,NAS100,SHORT,29658.5,29877.6,29001.4,29001.4,WIN,NY,Powell,,219.1,3.0,2.999,299.91
2026-07-14,NAS100,SHORT,29387.9,29449.5,29203.0,29449.5,LOSS,Tokyo,Powell,,61.6,3.0,-1.0,-100.0
2026-07-14,NAS100,SHORT,29522.2,29712.1,28952.6,29712.1,LOSS,Overlap,Powell,,189.9,3.0,-1.0,-100.0
2026-07-16,NAS100,SHORT,29499.3,29599.4,29198.9,29198.9,WIN,Tokyo,Powell,,100.1,3.0,3.001,300.1
2026-07-20,NAS100,SHORT,28768.9,28837.0,28564.7,28564.7,WIN,NY,Powell,,68.1,3.0,2.999,299.85
2026-07-22,NAS100,SHORT,28933.6,29012.6,28696.4,29012.6,LOSS,London,Powell,,79.0,3.0,-1.0,-100.0
2026-07-23,NAS100,SHORT,29073.7,29176.9,28764.1,28764.1,WIN,Tokyo,Powell,,103.2,3.0,3.0,300.0
2026-07-23,NAS100,SHORT,28527.0,28641.1,28184.4,28184.4,WIN,Overlap,Powell,,114.1,3.0,3.003,300.26
2026-07-29,NAS100,LONG,27583.9,27476.3,27906.7,27906.7,WIN,Tokyo,Powell,,107.6,3.0,3.0,300.0
2026-07-29,NAS100,SHORT,27521.8,27678.3,27052.2,27678.3,LOSS,NY,Powell,,156.5,3.0,-1.0,-100.0
2026-07-03,XAUUSD,LONG,4147.26,4103.6,4231.35,4103.6,LOSS,Tokyo,Combined,,43.66,1.93,-1.0,-100.0
2026-07-13,XAUUSD,SHORT,4076.71,4124.1,3967.42,3967.42,WIN,NY,Combined,,47.39,2.31,2.306,230.62
2026-07-21,XAUUSD,LONG,4081.94,4052.74,4150.48,4150.48,WIN,NY,Combined,,29.2,2.35,2.347,234.73
2026-07-29,XAUUSD,SHORT,4022.58,4045.68,3973.17,4045.68,LOSS,London,Combined,,23.1,2.14,-1.0,-100.0
2026-07-30,XAUUSD,LONG,4078.05,4041.64,4162.89,4041.64,LOSS,London,Combined,,36.41,2.33,-1.0,-100.0
2026-07-01,XAGUSD,SHORT,57.664,59.3,55.11,59.3,LOSS,Tokyo,Combined,,1.64,1.56,-1.0,-100.0
2026-07-02,XAGUSD,LONG,60.26,59.02,64.62,60.42,WIN,Tokyo,Combined,Early exit at 60.42 (+0.13R),1.24,3.52,0.129,12.9
2026-07-07,XAGUSD,SHORT,60.42,61.5,58.44,58.44,WIN,NY,Combined,,1.08,1.83,1.833,183.33
2026-07-10,XAGUSD,SHORT,59.27,60.23,55.55,55.55,WIN,London,Combined,,0.96,3.88,3.875,387.5
2026-07-17,XAGUSD,SHORT,54.91,55.78,52.96,55.78,LOSS,Tokyo,Combined,,0.87,2.24,-1.0,-100.0
2026-07-20,XAGUSD,LONG,57.06,56.33,58.87,56.33,LOSS,London,Combined,,0.73,2.48,-1.0,-100.0
2026-07-21,XAGUSD,LONG,57.54,56.31,59.43,59.43,WIN,Tokyo,Combined,,1.23,1.54,1.537,153.66
2026-07-22,XAGUSD,LONG,59.94,58.77,62.37,58.77,LOSS,Tokyo,Combined,,1.17,2.08,-1.0,-100.0
2026-07-27,XAGUSD,LONG,59.66,58.88,61.57,58.88,LOSS,NY,Combined,,0.78,2.45,-1.0,-100.0
2026-07-29,XAGUSD,SHORT,57.21,57.89,55.26,57.89,LOSS,Overlap,Combined,,0.68,2.87,-1.0,-100.0
2026-07-30,XAGUSD,SHORT,57.05,58.1,54.59,58.1,LOSS,Tokyo,Combined,,1.05,2.34,-1.0,-100.0
2026-08-03,XAUUSD,SHORT,4049.31,4071.15,3987.84,4071.15,LOSS,London,Combined,LIP-SIM,21.84,2.81,-1.0,-100.0
2026-08-03,XAGUSD,SHORT,57.435,58.45,55.768,58.45,LOSS,London,Combined,LIP-SIM,1.02,1.64,-1.0,-100.0
2026-08-03,NAS100,LONG,28659.6,28407.2,29921.2,29921.2,WIN,Overlap,Powell,,252.4,5.0,4.998,499.84
2026-08-03,XAUUSD,LONG,4035.67,4018.93,4119.35,4119.35,WIN,NY,Powell,,16.74,5.0,4.999,499.88
2026-08-03,XAGUSD,LONG,57.231,56.55,60.64,60.64,WIN,Overlap,Powell,,0.68,5.01,5.006,500.59
2026-08-04,XAGUSD,LONG,59.42,58.45,62.27,62.27,WIN,London,Combined,LIP-SIM,0.97,2.94,2.938,293.81
2026-08-05,XAGUSD,LONG,62.33,61.01,64.38,61.01,LOSS,Overlap,Combined,LIP-SIM,1.32,1.55,-1.0,-100.0
2026-08-06,XAUUSD,LONG,4278.07,4229.21,4357.49,4229.21,LOSS,NY,Combined,LIP-SIM,48.86,1.63,-1.0,-100.0
2026-08-06,NAS100,LONG,29441.8,29315.7,30072.8,30072.8,WIN,NY,Powell,,126.1,5.0,5.004,500.4
2026-08-07,XAUUSD,LONG,4274.39,4256.33,4364.65,4364.65,WIN,Tokyo,Powell,,18.06,5.0,4.998,499.78
2026-08-07,XAGUSD,LONG,61.956,61.124,66.119,66.119,WIN,Tokyo,Powell,,0.83,5.0,5.004,500.36
2026-08-07,XAUUSD,LONG,4266.13,4230.46,4357.49,4357.49,WIN,Tokyo,Combined,LIP-SIM,35.67,2.56,2.561,256.13
2026-08-07,XAGUSD,LONG,62.018,61.448,64.381,64.381,WIN,Tokyo,Combined,LIP-SIM,0.57,4.15,4.146,414.56
2026-08-10,XAGUSD,LONG,64.146,63.09,66.158,66.158,WIN,Tokyo,Combined,LIP-SIM,1.06,1.91,1.905,190.53
2026-08-10,XAUUSD,LONG,4355.06,4331.66,4427.74,4331.66,LOSS,Tokyo,Combined,LIP-SIM,23.4,3.11,-1.0,-100.0
2026-08-10,XAUUSD,LONG,4356.733,4331.665,4428.46,4428.46,WIN,Overlap,Combined,LIP-SIM,25.07,2.86,2.861,286.13
2026-08-12,XAUUSD,LONG,4396.36,4362.467,4459.608,4362.467,LOSS,Tokyo,Combined,LIP-SIM,33.89,1.87,-1.0,-100.0
2026-08-12,XAGUSD,LONG,65.405,64.559,67.068,64.559,LOSS,Tokyo,Combined,LIP-SIM,0.85,1.97,-1.0,-100.0
2026-08-12,XAGUSD,LONG,65.26,64.33,69.91,64.33,LOSS,Tokyo,Powell,,0.93,5.0,-1.0,-100.0
2026-08-13,XAUUSD,SHORT,4413.15,4429.58,4331.05,4331.05,WIN,Tokyo,Powell,,16.43,5.0,4.997,499.7
2026-08-17,XAUUSD,LONG,4400.73,4351.71,4498.85,4351.71,LOSS,Tokyo,Combined,LIP-SIM,49.02,2.0,-1.0,-100.0
2026-08-17,XAGUSD,LONG,66.184,64.935,68.682,64.935,LOSS,Overlap,Combined,LIP-SIM,1.25,2.0,-1.0,-100.0
2026-08-17,NAS100,SHORT,30069.8,30196.1,29438.3,29438.3,WIN,NY,Powell,,126.3,5.0,5.0,500.0
2026-08-18,XAGUSD,SHORT,65.444,65.859,63.527,63.527,WIN,Tokyo,Powell,,0.41,4.62,4.619,461.93
2026-08-19,NAS100,LONG,29470.8,29284.7,30401.3,29284.7,LOSS,NY,Powell,,186.1,5.0,-1.0,-100.0
2026-08-20,XAGUSD,LONG,68.105,67.48,71.23,67.48,LOSS,Overlap,Powell,,0.62,5.0,-1.0,-100.0
2026-08-20,XAUUSD,LONG,4521.53,4489.3,4609.999,4609.999,WIN,Overlap,Combined,LIP-SIM,32.23,2.74,2.745,274.49
2026-08-21,NAS100,LONG,29280.7,29111.5,30126.8,29111.5,LOSS,Tokyo,Powell,,169.2,5.0,-1.0,-100.0
2026-08-24,XAUUSD,LONG,4670.3,4634.49,4753.68,4634.49,LOSS,Overlap,Combined,LIP-SIM,35.81,2.33,-1.0,-100.0
2026-08-25,NAS100,LONG,28993.5,28938.0,29271.0,29271.0,WIN,Tokyo,Powell,,55.5,5.0,5.0,500.0
2026-08-25,XAGUSD,LONG,69.076,68.957,69.671,69.671,WIN,NY,Powell,,0.12,5.0,5.0,500.0
2026-08-25,XAGUSD,LONG,68.14,67.98,68.94,68.94,WIN,Overlap,Powell,,0.16,5.0,5.0,500.0
2026-08-25,XAUUSD,LONG,4648.28,4613.446,4731.13,4613.446,LOSS,NY,Combined,LIP-SIM,34.83,2.38,-1.0,-100.0
2026-08-26,NAS100,SHORT,29226.3,29248.4,29115.5,29115.5,WIN,NY,Powell,,22.1,5.01,5.014,501.36
2026-08-26,NAS100,LONG,29311.8,29266.0,29596.0,29596.0,WIN,NY,Powell,,45.8,6.21,6.205,620.52
2026-08-27,XAGUSD,LONG,68.688,68.535,69.521,68.535,LOSS,NY,Powell,,0.15,5.44,-1.0,-100.0
