date,direction,entry,sl,risk,anchor,manip_extreme,manip_pct,hit_sl,r_3R,r_5R,r_10R
2026-01-24,SHORT,4982.38,4982.63,0.25,4982.41,4982.63,0.004,True,-1.0,-1.0,-1.0
2026-01-25,SHORT,4982.4,4982.64,0.25,4982.43,4982.64,0.004,True,-1.0,-1.0,-1.0
2026-01-27,LONG,5081.45,5070.46,10.99,5077.31,5070.46,0.135,False,0.588,0.588,0.588
2026-01-28,SHORT,5233.68,5240.51,6.83,5234.84,5240.51,0.108,True,-1.0,-1.0,-1.0
2026-01-29,LONG,5546.81,5534.77,12.05,5546.68,5534.77,0.215,True,-1.0,-1.0,-1.0
2026-01-30,SHORT,5184.99,5231.14,46.15,5197.24,5231.14,0.652,False,0.796,0.796,0.796
2026-01-31,SHORT,4865.32,4865.56,0.25,4865.35,4865.56,0.004,True,-1.0,-1.0,-1.0
2026-02-01,SHORT,4865.32,4865.57,0.25,4865.36,4865.57,0.004,True,-1.0,-1.0,-1.0
2026-02-02,SHORT,4636.78,4700.94,64.16,4647.3,4700.94,1.154,False,3.0,0.96,0.96
2026-02-03,SHORT,4805.42,4827.51,22.1,4809.85,4827.51,0.367,True,-1.0,-1.0,-1.0
2026-02-04,LONG,5069.46,5059.3,10.17,5069.46,5059.3,0.2,True,-1.0,-1.0,-1.0
2026-02-05,SHORT,4875.52,4889.63,14.1,4877.99,4889.63,0.239,True,-1.0,-1.0,-1.0
2026-02-06,LONG,4827.14,4809.8,17.34,4825.18,4809.8,0.319,True,-1.0,-1.0,-1.0
2026-02-07,SHORT,4959.0,4959.25,0.25,4959.04,4959.25,0.004,False,-0.544,-0.544,-0.544
2026-02-09,SHORT,5021.97,5034.14,12.17,5022.28,5034.14,0.236,True,-1.0,-1.0,-1.0
2026-02-10,LONG,5028.76,5018.43,10.33,5028.13,5018.43,0.193,True,-1.0,-1.0,-1.0
2026-02-11,SHORT,5053.06,5060.66,7.61,5054.2,5060.66,0.128,True,-1.0,-1.0,-1.0
2026-02-12,LONG,5059.77,5051.47,8.3,5057.5,5051.47,0.119,True,-1.0,-1.0,-1.0
2026-02-13,SHORT,4981.55,4997.14,15.58,4982.64,4997.14,0.291,False,1.79,1.79,1.79
2026-02-14,SHORT,5043.09,5043.33,0.25,5043.11,5043.33,0.004,True,-1.0,-1.0,-1.0
2026-02-15,SHORT,5043.06,5043.31,0.25,5043.09,5043.31,0.004,True,-1.0,-1.0,-1.0
2026-02-16,LONG,4989.32,4973.33,15.99,4988.84,4973.33,0.311,False,1.385,1.385,1.385
2026-02-17,LONG,4959.84,4946.72,13.12,4957.76,4946.72,0.223,True,-1.0,-1.0,-1.0
2026-02-19,LONG,4984.39,4978.74,5.64,4982.46,4978.74,0.075,True,-1.0,-1.0,-1.0
2026-02-21,SHORT,5098.47,5098.73,0.26,5098.5,5098.73,0.005,True,-1.0,-1.0,-1.0
2026-02-22,SHORT,5098.48,5098.74,0.26,5098.51,5098.74,0.004,True,-1.0,-1.0,-1.0
