date,direction,entry,risk,manip_pct,outcome,r_3R,r_5R,cum_r,month
2026-01-28,SHORT,5233.68,6.83,0.108,LOSS,-1.0,-1.0,-1.0,2026-01
2026-01-30,SHORT,5184.99,46.15,0.652,WIN,3.0,5.0,2.0,2026-01
2026-02-02,SHORT,4636.78,64.16,1.154,WIN,3.0,-1.0,5.0,2026-02
2026-02-03,SHORT,4805.42,22.1,0.367,LOSS,-1.0,-1.0,4.0,2026-02
2026-02-05,SHORT,4875.52,14.1,0.239,LOSS,-1.0,-1.0,3.0,2026-02
2026-02-09,SHORT,5021.97,12.17,0.236,LOSS,-1.0,-1.0,2.0,2026-02
2026-02-11,SHORT,5053.06,7.61,0.128,LOSS,-1.0,-1.0,1.0,2026-02
2026-02-13,SHORT,4981.55,15.58,0.291,TIME,0.022,0.022,1.022,2026-02
2026-03-03,SHORT,5366.52,8.41,0.152,LOSS,-1.0,-1.0,0.02200000000000002,2026-03
2026-03-05,SHORT,5176.39,9.01,0.123,WIN,3.0,5.0,3.0220000000000002,2026-03
2026-03-06,SHORT,5130.17,6.83,0.107,WIN,3.0,3.52,6.022,2026-03
2026-03-10,SHORT,5165.05,8.42,0.15,LOSS,-1.0,-1.0,5.022,2026-03
2026-03-13,SHORT,5110.67,6.79,0.109,WIN,3.0,3.92,8.022,2026-03
2026-03-16,SHORT,5000.44,10.83,0.148,LOSS,-1.0,-1.0,7.022,2026-03
2026-03-18,SHORT,4991.41,5.35,0.105,LOSS,-1.0,-1.0,6.022,2026-03
2026-03-19,SHORT,4855.61,12.51,0.21,WIN,3.0,5.0,9.022,2026-03
2026-04-01,SHORT,4683.13,9.63,0.157,LOSS,-1.0,-1.0,8.022,2026-04
2026-04-02,SHORT,4687.1,12.49,0.256,WIN,3.0,5.0,11.022,2026-04
2026-04-09,SHORT,4709.62,13.12,0.224,LOSS,-1.0,-1.0,10.022,2026-04
2026-04-14,SHORT,4764.46,12.96,0.173,LOSS,-1.0,-1.0,9.022,2026-04
2026-04-29,SHORT,4594.9,9.1,0.183,WIN,3.0,3.927,12.022,2026-04
2026-05-12,SHORT,4719.84,10.07,0.211,WIN,3.0,1.588,15.022,2026-05
2026-05-20,SHORT,4462.95,7.32,0.148,LOSS,-1.0,-1.0,14.022,2026-05
2026-05-21,SHORT,4528.22,11.85,0.24,TIME,-0.907,-0.907,13.115,2026-05
2026-05-28,SHORT,4371.8,9.75,0.172,LOSS,-1.0,-1.0,12.115,2026-05
2026-06-01,SHORT,4511.25,8.52,0.116,LOSS,-1.0,-1.0,11.115,2026-06
2026-06-08,SHORT,4313.97,8.21,0.156,WIN,3.0,5.0,14.115,2026-06
2026-06-11,SHORT,4072.89,12.75,0.263,LOSS,-1.0,-1.0,13.115,2026-06
2026-07-03,SHORT,4175.99,6.36,0.145,LOSS,-1.0,-1.0,12.115,2026-07
2026-07-07,SHORT,4129.54,10.74,0.232,TIME,0.533,0.533,12.648,2026-07
2026-07-08,SHORT,4123.1,6.23,0.132,LOSS,-1.0,-1.0,11.648,2026-07
