date,direction,entry,sl,tp1,exit,outcome,actual_r,session,atr
2025-12-27 02:00:00,LONG,4546.34,4533.6,4571.83,4533.6,LOSS,-1.0,Tokyo (03-12 local),12.74
2026-01-08 22:00:00,SHORT,4423.32,4435.53,4398.89,4435.53,LOSS,-1.0,Off,12.21
2026-01-10 00:00:00,LONG,4484.12,4472.33,4507.71,4507.71,WIN,2.0,Tokyo (03-12 local),11.8
2026-01-30 19:00:00,SHORT,5110.72,5184.71,4962.74,4962.74,WIN,2.0,NY (16-01 local),73.99
2026-02-09 10:00:00,LONG,5042.5,5024.17,5079.17,5024.17,LOSS,-1.0,London (11-20 local),18.33
2026-02-10 02:00:00,LONG,5067.39,5035.94,5130.3,5035.94,LOSS,-1.0,Tokyo (03-12 local),31.45
2026-02-11 23:00:00,LONG,5082.07,5057.61,5131.0,5057.61,LOSS,-1.0,Off,24.46
2026-02-20 19:00:00,LONG,5029.3,5013.6,5060.7,5013.6,LOSS,-1.0,NY (16-01 local),15.7
2026-02-24 01:00:00,LONG,5190.08,5169.65,5230.94,5230.94,WIN,2.0,Tokyo (03-12 local),20.43
2026-03-11 00:00:00,LONG,5213.81,5191.92,5257.6,5191.92,LOSS,-1.0,Tokyo (03-12 local),21.9
2026-03-14 01:00:00,SHORT,5045.69,5067.31,5002.47,5067.31,LOSS,-1.0,Tokyo (03-12 local),21.61
2026-03-18 21:00:00,SHORT,4967.26,4981.72,4938.32,4938.32,WIN,2.0,NY (16-01 local),14.47
2026-04-01 03:00:00,LONG,4640.79,4613.69,4694.98,4694.98,WIN,2.0,Tokyo (03-12 local),27.1
2026-04-14 08:00:00,LONG,4758.6,4740.44,4794.93,4794.93,WIN,2.0,London (11-20 local),18.16
2026-04-29 22:00:00,SHORT,4545.69,4563.55,4509.98,4563.55,LOSS,-1.0,Off,17.85
2026-05-20 12:00:00,SHORT,4465.92,4487.28,4423.19,4487.28,LOSS,-1.0,London (11-20 local),21.36
2026-05-27 03:00:00,SHORT,4492.36,4509.35,4458.39,4509.35,LOSS,-1.0,Tokyo (03-12 local),16.99
2026-05-27 18:00:00,SHORT,4496.38,4511.57,4466.01,4466.01,WIN,2.0,NY (16-01 local),15.19
2026-06-03 18:00:00,SHORT,4441.83,4455.93,4413.65,4455.93,LOSS,-1.0,NY (16-01 local),14.09
2026-06-05 22:00:00,SHORT,4411.67,4429.17,4376.66,4376.66,WIN,2.0,Off,17.51
2026-07-02 22:00:00,LONG,4117.96,4097.85,4158.18,4158.18,WIN,2.0,Off,20.11
2026-07-03 10:00:00,LONG,4149.28,4128.1,4191.64,4191.64,WIN,2.0,London (11-20 local),21.18
