date,direction,entry,sl,tp1,exit,outcome,actual_r,session,atr
2025-12-17 17:00:00,LONG,4327.83,4317.39,4348.7,4317.39,LOSS,-1.0,NY,10.44
2025-12-24 14:00:00,LONG,4493.05,4474.93,4529.29,4474.93,LOSS,-1.0,NY,18.12
2025-12-27 02:00:00,LONG,4546.34,4533.6,4571.83,4533.6,LOSS,-1.0,Tokyo,12.74
2026-01-08 22:00:00,SHORT,4423.32,4435.53,4398.89,4435.53,LOSS,-1.0,Tokyo,12.21
2026-01-10 00:00:00,LONG,4484.12,4472.33,4507.71,4507.71,WIN,2.0,Tokyo,11.8
2026-01-19 08:00:00,LONG,4595.49,4595.15,4596.18,4595.15,LOSS,-1.0,London,0.34
2026-01-30 19:00:00,LONG,5110.72,5036.73,5258.7,5036.73,LOSS,-1.0,Off,73.99
2026-02-02 22:00:00,SHORT,4763.53,4873.91,4542.75,4873.91,LOSS,-1.0,Tokyo,110.39
2026-02-06 11:00:00,LONG,4762.47,4707.3,4872.8,4707.3,LOSS,-1.0,Overlap,55.17
2026-02-07 04:00:00,SHORT,4961.75,4999.61,4886.03,4999.61,LOSS,-1.0,Tokyo,37.86
2026-02-09 10:00:00,LONG,5042.5,5024.17,5079.17,5024.17,LOSS,-1.0,Overlap,18.33
2026-02-10 02:00:00,LONG,5067.39,5035.94,5130.3,5035.94,LOSS,-1.0,Tokyo,31.45
2026-02-11 23:00:00,LONG,5082.07,5057.61,5131.0,5057.61,LOSS,-1.0,Tokyo,24.46
2026-02-16 10:00:00,SHORT,5020.55,5022.94,5015.79,5015.79,WIN,2.0,Overlap,2.38
2026-02-19 05:00:00,SHORT,4986.21,5002.98,4952.68,5002.98,LOSS,-1.0,London,16.77
2026-02-20 00:00:00,LONG,4997.4,4981.97,5028.25,4981.97,LOSS,-1.0,Tokyo,15.43
2026-02-20 19:00:00,LONG,5029.3,5013.6,5060.7,5013.6,LOSS,-1.0,Off,15.7
2026-02-24 01:00:00,LONG,5190.08,5169.65,5230.94,5230.94,WIN,2.0,Tokyo,20.43
2026-02-25 07:00:00,SHORT,5164.09,5186.16,5119.94,5186.16,LOSS,-1.0,London,22.07
2026-03-02 09:00:00,LONG,5278.15,5277.57,5279.31,5279.31,WIN,2.0,London,0.58
2026-03-07 02:00:00,SHORT,5145.89,5172.49,5092.69,5172.49,LOSS,-1.0,Tokyo,26.6
2026-03-09 09:00:00,SHORT,5130.03,5138.3,5113.49,5113.49,WIN,2.0,London,8.27
2026-03-09 10:00:00,LONG,5075.04,5060.16,5104.8,5060.16,LOSS,-1.0,Overlap,14.88
2026-03-11 00:00:00,LONG,5213.81,5191.92,5257.6,5191.92,LOSS,-1.0,Tokyo,21.9
2026-03-14 01:00:00,SHORT,5045.69,5067.31,5002.47,5067.31,LOSS,-1.0,Tokyo,21.61
2026-03-16 08:00:00,SHORT,5019.56,5020.82,5017.04,5020.82,LOSS,-1.0,London,1.26
2026-03-17 15:00:00,LONG,5038.42,5021.62,5072.02,5021.62,LOSS,-1.0,NY,16.8
2026-03-18 21:00:00,SHORT,4967.26,4981.72,4938.32,4938.32,WIN,2.0,Tokyo,14.47
2026-03-23 08:00:00,SHORT,4491.87,4492.57,4490.48,4492.57,LOSS,-1.0,London,0.7
2026-03-26 17:00:00,LONG,4455.45,4424.78,4516.78,4424.78,LOSS,-1.0,NY,30.67
2026-04-01 03:00:00,LONG,4640.79,4613.69,4694.98,4694.98,WIN,2.0,Tokyo,27.1
2026-04-06 08:00:00,SHORT,4645.25,4649.81,4636.14,4649.81,LOSS,-1.0,London,4.56
2026-04-06 17:00:00,LONG,4685.54,4661.99,4732.64,4661.99,LOSS,-1.0,NY,23.55
2026-04-13 07:00:00,SHORT,4748.27,4749.29,4746.25,4749.29,LOSS,-1.0,London,1.01
2026-04-13 08:00:00,LONG,4659.8,4650.99,4677.43,4650.99,LOSS,-1.0,London,8.81
2026-04-14 08:00:00,LONG,4758.6,4740.44,4794.93,4794.93,WIN,2.0,London,18.16
2026-04-16 23:00:00,LONG,4793.73,4779.5,4822.17,4779.5,LOSS,-1.0,Tokyo,14.22
2026-04-17 03:00:00,SHORT,4787.02,4803.17,4754.72,4803.17,LOSS,-1.0,Tokyo,16.15
2026-04-20 07:00:00,SHORT,4830.33,4831.47,4828.07,4828.07,WIN,2.0,London,1.13
2026-04-20 11:00:00,LONG,4809.13,4796.38,4834.63,4796.38,LOSS,-1.0,Overlap,12.75
2026-04-22 00:00:00,SHORT,4738.35,4756.58,4701.89,4701.89,WIN,2.0,Tokyo,18.23
2026-04-27 06:00:00,SHORT,4707.28,4707.92,4706.01,4707.92,LOSS,-1.0,London,0.64
2026-04-28 10:00:00,SHORT,4691.48,4701.63,4671.17,4671.17,WIN,2.0,Overlap,10.15
2026-04-29 22:00:00,SHORT,4545.69,4563.55,4509.98,4563.55,LOSS,-1.0,Tokyo,17.85
2026-05-04 20:00:00,LONG,4563.3,4546.94,4596.04,4546.94,LOSS,-1.0,Off,16.37
2026-05-05 01:00:00,SHORT,4524.77,4547.0,4480.31,4547.0,LOSS,-1.0,Tokyo,22.23
2026-05-08 03:00:00,LONG,4706.11,4683.76,4750.81,4683.76,LOSS,-1.0,Tokyo,22.35
2026-05-11 08:00:00,SHORT,4692.78,4696.36,4685.63,4696.36,LOSS,-1.0,London,3.58
2026-05-13 01:00:00,LONG,4667.2,4648.34,4704.93,4704.93,WIN,2.0,Tokyo,18.86
2026-05-18 05:00:00,SHORT,4537.67,4537.96,4537.08,4537.96,LOSS,-1.0,London,0.29
2026-05-18 13:00:00,LONG,4543.51,4529.96,4570.6,4529.96,LOSS,-1.0,Overlap,13.55
2026-05-20 12:00:00,SHORT,4465.92,4487.28,4423.19,4487.28,LOSS,-1.0,Overlap,21.36
